year,sex,money_measure,education,avg_income,color,idtf,error
2000,Female,Constant 2019 Dollars,Less than 9th grade,23450,steelblue,Female Less than 9th grade,(485)
2001,Female,Constant 2019 Dollars,Less than 9th grade,24100,steelblue,Female Less than 9th grade,(368)
2002,Female,Constant 2019 Dollars,Less than 9th grade,23470,steelblue,Female Less than 9th grade,(422)
2003,Female,Constant 2019 Dollars,Less than 9th grade,23500,steelblue,Female Less than 9th grade,(356)
2004,Female,Constant 2019 Dollars,Less than 9th grade,23040,steelblue,Female Less than 9th grade,(326)
2005,Female,Constant 2019 Dollars,Less than 9th grade,21130,steelblue,Female Less than 9th grade,(327)
2006,Female,Constant 2019 Dollars,Less than 9th grade,23000,steelblue,Female Less than 9th grade,(517)
2007,Female,Constant 2019 Dollars,Less than 9th grade,22520,steelblue,Female Less than 9th grade,(568)
2008,Female,Constant 2019 Dollars,Less than 9th grade,22130,steelblue,Female Less than 9th grade,(587)
2009,Female,Constant 2019 Dollars,Less than 9th grade,22020,steelblue,Female Less than 9th grade,(537)
2010,Female,Constant 2019 Dollars,Less than 9th grade,21380,steelblue,Female Less than 9th grade,(694)
2011,Female,Constant 2019 Dollars,Less than 9th grade,22850,steelblue,Female Less than 9th grade,(284)
2012,Female,Constant 2019 Dollars,Less than 9th grade,22340,steelblue,Female Less than 9th grade,(572)
2013,Female,Constant 2019 Dollars,Less than 9th grade,21770,steelblue,Female Less than 9th grade,(551)
2014,Female,Constant 2019 Dollars,Less than 9th grade,22670,steelblue,Female Less than 9th grade,(301)
2015,Female,Constant 2019 Dollars,Less than 9th grade,22710,steelblue,Female Less than 9th grade,(297)
2016,Female,Constant 2019 Dollars,Less than 9th grade,23660,steelblue,Female Less than 9th grade,(517)
2017,Female,Constant 2019 Dollars,Less than 9th grade,23320,steelblue,Female Less than 9th grade,(556)
2018,Female,Constant 2019 Dollars,Less than 9th grade,23380,steelblue,Female Less than 9th grade,"(1,061)"
2019,Female,Constant 2019 Dollars,Less than 9th grade,24560,steelblue,Female Less than 9th grade,(595)
1990,Male,Current Dollars,"Some high school, no completion",20900,darkred,"Male Some high school, no completion",(---)
1995,Male,Current Dollars,"Some high school, no completion",22190,darkred,"Male Some high school, no completion",(342)
2000,Male,Current Dollars,"Some high school, no completion",25100,darkred,"Male Some high school, no completion",(436)
2001,Male,Current Dollars,"Some high school, no completion",26210,darkred,"Male Some high school, no completion",(251)
2002,Male,Current Dollars,"Some high school, no completion",25900,darkred,"Male Some high school, no completion",(207)
2003,Male,Current Dollars,"Some high school, no completion",26470,darkred,"Male Some high school, no completion",(280)
2004,Male,Current Dollars,"Some high school, no completion",26280,darkred,"Male Some high school, no completion",(234)
2005,Male,Current Dollars,"Some high school, no completion",27190,darkred,"Male Some high school, no completion",(237)
2006,Male,Current Dollars,"Some high school, no completion",27650,darkred,"Male Some high school, no completion",(573)
2007,Male,Current Dollars,"Some high school, no completion",29320,darkred,"Male Some high school, no completion",(590)
2008,Male,Current Dollars,"Some high school, no completion",29680,darkred,"Male Some high school, no completion",(458)
2009,Male,Current Dollars,"Some high school, no completion",28020,darkred,"Male Some high school, no completion",(542)
