 Year,"Less than 9th grade
","Some high school, no completion

",High school completion (includes equivalency),"Some college, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree,Doctor's degree,Sex,Measure
2006,23000,25530,33910,40520,44590,57590,66500,96690,89430,Female,Constant 2019 Dollars
2007,22520,25150,33590,40490,44800,56440,68340,87670,85060,Female,Constant 2019 Dollars
2008,22130,24230,33700,38740,43650,55840,68290,84660,87900,Female,Constant 2019 Dollars
2009,22020,25290,34740,40620,44410,55810,72770,99990,91260,Female,Constant 2019 Dollars
2010 ,21380,24480,35010,39160,44290,55610,69290,89970,90740,Female,Constant 2019 Dollars
2011,22850,24000,34110,39320,44650,55810,68540,91740,88040,Female,Constant 2019 Dollars
2012,22340,23810,33860,39040,41560,55870,67840,105200,86750,Female,Constant 2019 Dollars
2013,21770,24420,33800,38680,41380,55690,67250,93720,82410,Female,Constant 2019 Dollars
2014,22670,23740,33100,37120,40470,55450,65690,99150,86980,Female,Constant 2019 Dollars
2015 ,22710,24450,33710,38990,43350,55750,67280,88960,88780,Female,Constant 2019 Dollars
2016,23660,26420,33600,39290,42840,55420,69140,98030,92000,Female,Constant 2019 Dollars
2017,23320,26550,33630,38200,42390,54690,71450,104480,95990,Female,Constant 2019 Dollars
2018,23380,25590,33210,39540,42240,57710,67950,101590,96900,Female,Constant 2019 Dollars
2019,24560,26740,35100,40810,42300,57420,70810,102460,101170,Female,Constant 2019 Dollars
